m_id,title_ja,title_en,title_zh,title_ko,description_ja,description_en,description_zh,description_ko,target_ids,sort_order
m-017,みちのくの城：南部・津軽,Guardians of the North,陆奥之城：南部与津轻,미치노쿠의 성: 난부와 츠가루,東北の歴史を物語る南部・津軽の拠点を訪ねる。,Visit the historic northern strongholds of the Nanbu and Tsugaru clans.,探访见证东北历史的南部与津轻家族根据地。,동북 지방의 역사를 말해주는 난부와 츠가루 가문의 거점들을 방문하세요.,"castle-03-0069,castle-02-0042",11
m-083,関東平野の要塞,Kanto Plain Forts,关东平原要塞,간토 평야의 요새,平地に築かれた巨大な城郭網を攻略する。,Visit the massive network of fortresses in the Kanto region.,攻克在平原上修筑的巨大城郭网。,평지에 세워진 거대한 성곽망을 공략하세요.,"castle-13-0474,castle-11-0336,castle-12-0420",12
m-018,関東の要害：幕府の守り,Kanto Strategic Defense,关东要塞：幕府之守,간토의 요새: 막부의 수비,江戸幕府を支えた関東各地の重要拠点を巡る。,Discover the key strategic castles that protected Edo.,游览支持江户幕府的关东各地重要据点。,에도 막부를 지탱했던 간토 각지의 주요 거점들을 둘러보세요.,"castle-14-0498,castle-11-0336,castle-10-0325",13
m-084,甲信越の険しき城,Rugged Kofushinetsu,甲信越险峻之城,코신에츠의 험준한 성,険しい地形を活かした戦国時代の息吹を感じる城々。,Visit the steep mountain forts of central Japan.,探访利用险峻地形、感受战国时代气息的群城。,험준한 지형을 활용한 전국 시대의 숨결을 느낄 수 있는 성들.,"castle-19-0702,castle-20-0716,castle-15-0533",14
m-085,北陸の誇り,Pride of Hokuriku,北陆的骄傲,호쿠리쿠의 자부심,加賀・越前・越中の歴史を今に伝える名城群。,Journey through the history of the Hokuriku coastal region.,将加贺、越前、越中的历史传承至今的名城群。,"카가, 에치젠, 에츠중의 역사를 전해주는 명성들.","castle-17-0637,castle-18-0685,castle-16-0581",15
m-086,東海三英傑の城,Castles of Three Heroes,东海三英杰之城,도카이 삼영걸의 성,信長・秀吉・家康ゆかりの東海地方の拠点。,See the castles associated with Japan's three unifiers.,探访与信长、秀吉、家康有关的东海地区据点。,"노부나가, 히데요시, 이에야스와 관련된 도카이 지역 거점.","castle-23-0995,castle-21-0801,castle-22-0920",16
m-087,近畿の歴史遺産,Kinki Heritage Trip,近畿历史遗产,긴키의 역사 유산,古都の周辺に築かれた、日本の美を象徴する城郭たち。,Explore the historic and beautiful castles around the old capitals.,修筑于古都周边、象征日本之美的城郭群。,고도 주변에 세워진 일본의 미를 상징하는 성곽들.,"castle-26-1108,castle-27-1137,castle-28-1219",17
m-019,城下町の風情：近畿編,Kinki Castle Towns,城下町风情：近畿篇,성하 마을의 정취: 긴키 편,城と周辺の美しい歴史的な町並みを楽しむ旅。,Enjoy the historic streetscapes in the Kinki region.,欣赏名城及其周边优美历史街道的旅程。,성과 그 주변의 아름답고 역사적인 거리 풍경을 즐기는 여행.,"castle-26-1108,castle-28-1219,castle-25-1071",18
m-088,中国地方の覇者,Lords of Chugoku,中国地方的霸者,주고쿠 지방의 패자,山陽・山陰の覇権を争った武将たちの居城。,See the castles of the powerful clans in the Chugoku region.,争夺山阳、山阴霸权的名将们的居城。,산요와 산인에서 패권을 다투었던 무장들의 거성.,"castle-34-1486,castle-33-1435,castle-32-1400",19
m-089,四国の名城を巡る,Shikoku Castle Tour,四国名城巡礼,시코쿠 명성 투어,瀬戸内と太平洋に囲まれた四国の美しい城々。,Tour the beautiful castles across the Shikoku island.,被濑户内海与太平洋环绕的四国优美名城。,세토 내해와 태평양으로 둘러싸인 시코쿠의 아름다운 성들.,"castle-37-1584,castle-38-1604,castle-39-1656",20
m-012,四国の現存天守,Original Towers: Shikoku,四国现存天守,시코쿠의 현존 천수,四国に残る貴重な4つの現存天守を網羅する。,Visit the 4 original castle towers located on Shikoku island.,走遍四国岛内珍贵的4座现存天守。,시코쿠에 남아 있는 귀중한 4개의 현존 천수각을 모두 방문하세요.,"castle-37-1585,castle-38-1604,castle-38-1630,castle-39-1656",21
m-090,九州・沖縄の風,Kyushu and Okinawa,九州·冲绳之风,규슈와 오키나와의 바람,南国の熱い歴史と独自の文化が息づく城郭群。,Experience the unique history and culture of southern Japan.,散发着南国热血历史与独特文化的城郭群。,남쪽 지방의 뜨거운 역사와 독자적인 문화가 살아 숨 쉬는 성곽들.,"castle-43-1796,castle-40-1671,castle-47-1928",22
m-013,九州要塞巡り,Kyushu Fortresses,九州要塞巡礼,규슈 요새 탐방,南国の守りを固めた九州を代表する堅城を訪ねる。,Explore the formidable stone fortresses in Kyushu.,探访守卫南国疆土的九州代表性坚城。,남쪽 지방의 수비를 굳건히 했던 규슈의 대표적인 요새들을 방문하세요.,"castle-43-1796,castle-46-1896,castle-40-1671",23
m-020,琉球王国の遺産,Ryukyu Kingdom Gusuku,琉球王国的遗产,류큐 왕국의 유산,世界遺産にも登録されている沖縄のグスクを訪ねる。,Discover the unique castle architecture of the Ryukyu Kingdom.,探访被列入世界遗产名录的冲绳“御城”遗迹。,세계 유산으로 등록된 오키나와의 구스쿠(성)를 방문해 보세요.,"castle-47-1928,castle-47-1929,castle-47-1930",24
m-004,織田信長：天下布武への道,Oda Nobunaga's Path,织田信长：天下布武之路,오다 노부나가: 천하포무의 길,清洲・安土・名古屋を通じて、信長が築いた拠点とその延長線上の城を巡る。,Walk the castles that connect Nobunaga’s path from Kiyosu through Azuchi to Nagoya.,追随织田信长立志统一天下时作为根据地的名城。,노부나가가 천하 통일을 목표로 거점으로 삼았던 성들을 둘러보세요.,"castle-23-0981,castle-25-1072,castle-23-0995",25
m-005,豊臣秀吉：天下人の足跡,Toyotomi Hideyoshi's Legacy,丰臣秀吉：天下人的足迹,도요토미 히데요시: 천하인의 발자취,二条・大坂・伏見をめぐり、秀吉が京都周辺と大阪で築いた支配の軸をたどる。,"Trace Hideyoshi’s rule through Nijo, Osaka, and Fushimi, the castles that anchored his power in Kyoto and Osaka.",探访建立黄金时代的丰臣秀吉所建的宏伟巨城。,황금 시대를 일구었던 히데요시와 관련된 거대한 성들을 방문하세요.,"castle-26-1108,castle-27-1137,castle-26-1111",26
m-006,徳川家康：江戸幕府の礎,Tokugawa Ieyasu's Foundation,德川家康：江户幕府的基石,도쿠가와 이에야스: 에도 막부의 초석,岡崎・駿府・江戸を辿り、家康の出自と幕府形成の中心をつなぐ。,"Follow the castles that connect Ieyasu’s early base in Okazaki, his domain in Sunpu, and the seat of the shogunate in Edo.",游览见证德川家康从诞生到建立太平盛世的名城。,이에야스의 탄생부터 천하 태평까지를 뒷받침했던 성들을 둘러보세요.,"castle-23-1011,castle-22-0941,castle-22-0920,castle-13-0474",27
m-007,伊達政宗：独眼竜の野望,Date Masamune: The One-Eyed Dragon,伊达政宗：独眼龙的野望,다테 마사무네: 독안룡의 야망,仙台を中心に、政宗の成長と拠点形成を支えた城を巡る。,Visit the castles that anchored Date Masamune’s rise and the Sendai-centered network of his domain.,追寻建立“森之都”仙台的伊达政宗的足迹。,숲의 도시 센다이를 건설한 마사무네의 발자취를 따라가 보세요.,"castle-04-0095,castle-04-0096,castle-04-0097",28
m-008,武田信玄：甲斐の虎,Takeda Shingen: Tiger of Kai,武田信玄：甲斐之虎,다케다 신겐: 카이의 호랑이,甲府・要害山・高遠を巡り、武田信玄の本拠と戦略拠点をたどる。,Trace the Takeda strongholds that connect Shingen’s base in Kofu with the mountain defenses of Yogaiyama and Takato.,探访率领最强骑兵军团的武田信玄之故地。,최강 기마 군단을 이끌었던 신겐과 관련된 장소들을 둘러보세요.,"castle-19-0702,castle-19-0712,castle-20-0761",29
m-009,上杉謙信：越後の龍,Uesugi Kenshin: Dragon of Echigo,上杉谦信：越后之龙,우에스기 켄신: 에치고의 용,春日山と唐沢山を巡り、謙信の越後における主戦場と拠点をたどる。,"Trace Uesugi Kenshin’s Echigo power through Kasugayama and Karasawayama, the castles that defined his domain.",游览重情重义的“军神”谦信所筑的难攻不落之城。,의를 중시한 군신 켄신의 난공불락의 성들을 둘러보세요.,"castle-15-0533,castle-09-0292",30
m-010,真田一族：不屈の誇り,The Resilient Sanada,真田一族：不屈的骄傲,사나다 일족: 불굴의 자부심,上田・沼田・名胡桃を巡り、真田一族が拠点を広げた城をたどる。,Follow the Sanada clan through the castles that anchored their rise from Ueda through Numata to Nagurumi.,参观击退德川大军的上田城及真田家族相关名城。,도쿠가와의 대군을 물리친 우에다 성과 사나다 가문 관련 성들을 방문하세요.,"castle-20-0717,castle-10-0327,castle-10-0326",31
m-091,北条五代の足跡,Hojo Five Generations Route,北条五代足迹,호조 오대의 발자취,小田原・八王子・北条に関わる北条一族の足跡を辿る。,"Trace the footsteps of the Hojo clan through Odawara, Hachioji, and Hojo.",追寻与小田原、八王子、北条有关的北条一族足迹。,"오다와라, 하치오지, 호죠와 관련된 호조 일족의 발자취를 따라가십시오.","castle-14-0498,castle-13-0486,castle-15-0536",32
m-111,大友宗麟：肥後の覇者,Ohtomo Sorin: Lord of Higo,大友宗麟：肥后的霸者,오토모 소린: 히고의 패자,肥後の拠点を中心に、大友氏が広げた足跡をたどる。,Walk the Higo strongholds that trace the path of Ohtomo rule from Kumamoto to the surrounding fortresses.,追寻大友氏在肥后地区的足迹。,오토모 가문의 히고 지역 발자취를 따라가세요.,"castle-43-1796,castle-43-1809,castle-40-1671",33
m-112,島津義久：薩摩の狼,Shimazu Yoshihisa: Wolf of Satsuma,岛津义久：萨摩之狼,시마즈 요시히사: 사쓰마의 늑대,鹿児島・加治木・松山を巡り、島津氏の薩摩における拠点をたどる。,"Trace the Shimazu line through Kagoshima, Kajiki, and Matsuyama, the castles that anchored Satsuma power.",追寻岛津氏在萨摩地区的据点。,시마즈 가문의 사쓰마 지역 거점들을 따라가세요.,"castle-46-1896,castle-46-1914,castle-46-1927",34
m-113,直江兼続：越後の智将,Naoe Kanetsugu: Strategist of Echigo,直江兼续：越后之智将,나오에 가네쓰구: 에치고의 전략가,春日山・村上・周辺の城を巡り、直江兼続の越後における足跡をたどる。,"Follow Naoe Kanetsugu’s Echigo network through Kasugayama, Murakami, and the surrounding castles tied to his strategy.",探访与直江兼续相关的春日山及周边城池。,나오에 가네쓰구와 관련된 카스가야마 주변 성들을 방문하세요.,"castle-15-0533,castle-15-0536,castle-15-0543",35
m-114,上杉景勝：会津の防衛,Uesugi Kagekatsu: Defender of Aizu,上杉景胜：会津防卫,우에스기 카게카쓰: 아이즈 수비,会津若松・二本松・若松を巡り、上杉景勝の防衛線と拠点をたどる。,"Trace Uesugi Kagekatsu’s Aizu defenses through Aizu-Wakamatsu, Nihonmatsu, and Wakamatsu.",探访以会津若松为中心的防卫据点。,아이즈와카마쓰를 중심으로 한 수비 거점들을 방문하세요.,"castle-07-2057,castle-07-0212,castle-07-0191",36
m-115,小西行長：九州の遠征,Konishi Yukinaga: Kyushu Campaign,小西行长：九州远征,코니시 유키나가: 규슈 원정,小倉・名護屋・熊本を巡り、小西行長が九州で残した足跡をたどる。,Follow Konishi Yukinaga through the Kyushu castles that mark his route from Kokura to Nagoya and Kumamoto.,追寻小西氏在九州的足迹。,코니시 가문의 규슈 거점들을 따라가세요.,"castle-40-1672,castle-41-1724,castle-43-1796",37
m-116,黒田長政：黒田家の足跡,Kuroda Nagamasa: Kuroda Legacy,黑田长政：黑田家足迹,구로다 나가마사: 구로다 가문 발자취,黒田城・福岡・熊本を巡り、黒田家の拠点と関係城をたどる。,"Trace the Kuroda clan through Kuroda Castle, Fukuoka, and Kumamoto, the places that anchor their legacy.",探访黑田家相关的城池。,구로다 가문과 관련된 성들을 방문하세요.,"castle-23-0984,castle-40-1671,castle-43-1796",38
m-117,前田利家：加賀の礎,Maeda Toshiie: Foundation of Kaga,前田利家：加贺之基,마에다 도시이에: 가가의 초석,金沢・七尾・金ヶ崎を巡り、前田利家が加賀・越前で築いた基盤をたどる。,"Follow the Maeda strongholds that connect Toshiie’s foundations in Kanazawa, Nanao, and Kanegasaki.",追寻前田氏在加贺与越前的据点。,마에다 가문의 가가와 에치젠 거점들을 따라가세요.,"castle-17-0637,castle-17-0662,castle-18-0687",39
m-126,朝倉義景：越前の支配者,Asakura Yoshikage: Lord of Echizen,朝仓义景：越前的支配者,아사쿠라 요시카게: 에치젠의 지배자,一乗谷・敦賀・金ヶ崎を巡り、朝倉義景の越前における本拠と要衝をたどる。,"Trace Asakura Yoshikage through Ichijodani, Tsuruga, and Kanegasaki, the castles that anchored his Echizen domain.",追寻朝仓义景在越前地区的根据地与要冲。,"이치조다니, 쓰루가, 가네가사키를 따라 아사쿠라 요시카게의 에치젠 거점을 방문하세요.","castle-18-0685,castle-18-0688,castle-18-0687",40
m-127,浅井長政：北近江の雄,Azai Nagamasa: Lord of North Omi,浅井长政：北近江之雄,아자이 나가마사: 북오미의 영웅,小谷・佐和山・横山を巡り、浅井長政が北近江で築いた拠点をたどる。,"Trace Azai Nagamasa through Odani, Sawayama, and Yokoyama, the castles that anchored his North Omi domain.",追寻浅井长政在北近江地区的根据地。,"오다니, 사와야마, 요코야마를 따라 아자이 나가마사의 북오미 거점을 방문하세요.","castle-25-1074,castle-25-1076,castle-25-1081",41
m-118,藤堂高虎：紀伊の守り,Todo Takatora: Guardian of Kii,藤堂高虎：纪伊之守,토도 타카토라: 기이의 수호자,和歌山・根来・岸和田・今治を巡り、藤堂高虎の紀伊と四国にまたがる足跡をたどる。,"Trace Todo Takatora through Wakayama, Negoro, Kishiwada, and Imabari, the castles that frame his Kii and Shikoku connections.",探访藤堂氏在纪伊地区的足迹。,토도 가문의 기이 지역 발자취를 따라가세요.,"castle-30-1272,castle-30-1283,castle-27-1161,castle-38-1605",42
m-119,立花宗茂：筑前の雄,Tachibana Muneshige: Hero of Chikuzen,立花宗茂：筑前之雄,타치바나 무네시게: 치쿠젠의 영웅,立花山・豊前松山・黒崎を巡り、立花宗茂の筑前における拠点をたどる。,"Walk the Chikuzen castles tied to Tachibana Muneshige, from Tachibanayama through Buzen Matsuyama to Kurosaki.",追寻立花氏在筑前的足迹。,타치바나 가문의 치쿠젠 거점들을 따라가세요.,"castle-40-1679,castle-40-1717,castle-40-1678",43
m-120,毛利輝元：中国の覇者,Mori Terumoto: Lord of Chugoku,毛利辉元：中国之霸王,모리 테루모토: 주고쿠의 패자,広島・萩・福山を巡り、毛利氏の中国地方における足跡をたどる。,"Trace the Mori clan through Hiroshima, Hagi, and Fukuyama, the castles that anchor their Chugoku power.",追寻毛利氏在中国地方的足迹。,모리 가문의 주고쿠 지역 발자취를 따라가세요.,"castle-34-1486,castle-35-1548,castle-33-1478",44
m-121,宇喜多秀家：備前の貴公子,Ukita Hideie: Noble of Bizen,宇喜多秀家：备前贵公子,우키타 히데이에: 비젠의 귀공자,岡山・備中松山・福山を巡り、宇喜多秀家の備前における足跡をたどる。,"Follow Ukita Hideie through Okayama, Bitchu Matsuyama, and Fukuyama, the castles that define his Bizen route.",追寻宇喜多氏在备前的足迹。,우키타 가문의 비젠 지역 발자취를 따라가세요.,"castle-33-1435,castle-33-1467,castle-33-1478",45
m-122,長宗我部元親：土佐の雄,Chosokabe Motochika: Hero of Tosa,长宗我部元亲：土佐之雄,초소카베 모토치카: 도사 지방의 영웅,高知・伊予松山・今治を巡り、長宗我部元親の土佐と四国における足跡をたどる。,"Follow Chosokabe Motochika through Kochi, Iyo Matsuyama, and Imabari, the castles that connect his Tosa and Shikoku footprint.",追寻长曾我部氏在土佐地区的足迹。,초소카베 가문의 도사 지역 발자취를 따라가세요.,"castle-39-1656,castle-38-1604,castle-38-1605",46
m-123,今川義元：駿河の覇者,Imagawa Yoshimoto: Lord of Suruga,今川义元：骏河之霸者,이마가와 요시모토: 스루가의 패자,浜松・駿府・駿河の関連城を巡り、今川義元の足跡をたどる。,"Trace the Imagawa clan through Hamamatsu, Sunpu, and the surrounding Suruga strongholds tied to Yoshimoto.",追寻今川氏在骏河地区的足迹。,이마가와 가문의 스루가 지역 발자취를 따라가세요.,"castle-22-0941,castle-22-0920,castle-22-0933",47
m-125,池田輝政：摂津の守護,Ikeda Terumasa: Guardian of Settsu,池田辉政：摄津守护,이케다 테루마사: 세쓰수의 수호자,池田城・姫路城・岸和田城を巡り、池田輝政が摂津と播磨で残した足跡をたどる。,"Trace Ikeda Terumasa through Ikeda Castle, Himeji Castle, and Kishiwada, the castles that connect his Settsu and Harima route.",追寻池田氏在摄津地区的足迹。,이케다 가문의 세쓰수 지역 발자취를 따라가세요.,"castle-27-1138,castle-28-1219,castle-27-1161",48
m-092,小田原攻め,Odawara Campaign,小田原攻城,오다와라 공략,北条氏の拠点を巡る戦いの舞台を訪ねる。,Visit the key sites connected to the Odawara campaign.,探访与小田原攻城相关的关键据点。,오다와라 공략과 관련된 주요 거점을 방문합니다.,"castle-14-0498,castle-14-0509",49
m-093,上田合戦の足跡,Battle of Ueda Trail,上田合战足迹,우에다 전투의 발자취,真田氏と武田氏の攻防に関わる城を巡る。,Travel through castles connected to the Battle of Ueda.,探索与上田合战相关的城池。,우에다 전투와 관련된 성을 둘러봅니다.,"castle-20-0717,castle-20-0737,castle-20-0761,castle-20-0718",50
m-094,長篠の戦い,Battle of Nagashino,长篠之战,나가시노 전투,三河の戦乱を象徴する長篠城を訪ねる。,"Visit Nagashino Castle, a symbol of the Battle of Nagashino.",前往象征三河战乱的长篠城。,三河의 전란을 상징하는 나가시노 성을 방문합니다.,castle-23-1026,51
m-096,桶狭間の戦い,Battle of Okehazama,桶狭间之战,오케하자마 전투,今川義元と織田信長の決戦を巡る。,Trace the decisive clash between Imagawa Yoshimoto and Oda Nobunaga.,探访今川义元与织田信长的决战。,이마가와 요시모토와 오다 노부나가의 결전을 따라가세요.,"castle-23-0987,castle-23-1011",52
m-097,川中島の戦い,Battle of Kawagoe,川中岛之战,카와구치 전투,武田氏と上杉氏の主戦場を辿る。,Follow the key battlefields between the Takeda and Uesugi clans.,追寻武田氏与上杉氏主战场的足迹。,다케다 가문과 우에스기 가문의 주요 전장을 따라가세요.,"castle-20-0717,castle-20-0737,castle-20-0761",53
m-098,関ヶ原の戦い,Battle of Sekigahara,关原之战,세키가하라 전투,天下分け目の決戦に関わる拠点を巡る。,Visit the strongholds tied to the decisive Battle of Sekigahara.,走访决定天下归属的关原之战相关据点。,천하의 분수령이 된 세키가하라 전투와 관련된 거점들을 방문하세요.,"castle-22-0941,castle-22-0920,castle-26-1111",54
m-099,天王山の戦い,Battle of Tennouzan,天王山之战,텐노잔 전투,山崎の要衝を中心に、織田軍の攻勢をたどる。,Trace Oda's advance around the key passes near Tennouzan.,沿着围绕天王山关键关口的织田军推进路线。,덴노잔 주변의 주요 고개를 중심으로 오다군의 공세를 따라가세요.,"castle-26-1118,castle-26-1111,castle-27-1138",55
m-100,山崎の戦い,Battle of Yamazaki,山崎之战,야마자키 전투,山崎周辺の城を巡って戦局の流れを追う。,Follow the flow of battle through the castles around Yamazaki.,沿着山崎周边城郭追寻战局变化。,야마자키 주변의 성들을 따라 전세의 흐름을 추적하세요.,"castle-26-1118,castle-27-1138,castle-28-1241",56
m-101,大坂の陣,Siege of Osaka,大阪之阵,오사카 전투,大坂の近在に残る拠点を巡る。,Visit the major strongholds around the Siege of Osaka.,探访大阪之阵周边的重要据点。,오사카 전투 주변의 주요 거점들을 방문하세요.,"castle-27-1137,castle-27-1161,castle-27-1181",57
m-102,小牧・長久手の戦い,Battle of Komaki and Nagakute,小牧·长久手之战,코마키·나가쿠테 전투,尾張の要衝を巡って、総力戦の舞台を辿る。,Trace the major campaign through the key strongholds of Owari.,沿着尾张关键据点追随这场总力战。,오와리의 주요 거점들을 따라 총력전의 무대를 추적하세요.,"castle-23-0987,castle-23-1026,castle-23-1011",58
m-103,富士川の戦い,Battle of Fujikawa,富士川之战,후지카와 전투,駿河の要地をめぐる武田・今川の攻防を巡る。,Follow the Takeda and Imagawa confrontation around the Fujikawa region.,沿着富士川周边的武田与今川攻防足迹。,후지카와 지역 주변의 다케다와 이마가와의 공방을 따라가세요.,"castle-22-0941,castle-22-0920,castle-19-2059",59
m-104,姉川の戦い,Battle of Anegawa,姉川之战,아네가와 전투,近江・尾張の戦線を考えるうえで重要な城を巡る。,Visit the castles that framed the Battle of Anegawa.,走访构成姉川之战战线的各座城池。,아네가와 전투의 전선을 형성한 성들을 방문하세요.,"castle-41-1732,castle-25-1072,castle-25-1089",60
m-105,沖田畷の戦い,Battle of Okitanawate,冲田畷之战,오키타나와테 전투,大阪周辺の防衛拠点を巡る。,Travel through the Osaka-area strongholds connected to the battle.,探访与冲田畷相关的大阪周边据点。,오키타나와테 전투와 관련된 오사카 주변 거점들을 방문하세요.,"castle-27-1137,castle-27-1138,castle-27-1146",61
